sample-id	Tray	Snail_Number	Day	Tissue	Cohort
CA-4-14-Hm	CA	4	14	Hemolymph	Control
CA-4-14-Hp	CA	4	14	Hepatopancreas	Control
CA-4-21-Hm	CA	4	21	Hemolymph	Control
CA-4-21-Hp	CA	4	21	Hepatopancreas	Control
CA-4-7-Hm	CA	4	7	Hemolymph	Control
CA-4-7-Hp	CA	4	7	Hepatopancreas	Control
CB-0-1-W	CB	0	1	Water	Control
CB-0-14-W	CB	0	14	Water	Control
CB-0-21-W	CB	0	21	Water	Control
CB-0-28-W	CB	0	28	Water	Control
CB-0-35-W	CB	0	35	Water	Control
CB-0-37-W	CB	0	37	Water	Control
CB-0-39-W	CB	0	39	Water	Control
CB-0-7-W	CB	0	7	Water	Control
CB-1-1-Hm	CB	1	1	Hemolymph	Control
CB-1-1-Hp	CB	1	1	Hepatopancreas	Control
CB-1-14-Hm	CB	1	14	Hemolymph	Control
CB-1-14-Hp	CB	1	14	Hepatopancreas	Control
CB-1-21-Hm	CB	1	21	Hemolymph	Control
CB-1-21-Hp	CB	1	21	Hepatopancreas	Control
CB-1-28-Hm	CB	1	28	Hemolymph	Control
CB-1-28-Hp	CB	1	28	Hepatopancreas	Control
CB-1-35-Hm	CB	1	35	Hemolymph	Control
CB-1-35-Hp	CB	1	35	Hepatopancreas	Control
CB-1-37-Hm	CB	1	37	Hemolymph	Control
CB-1-37-Hp	CB	1	37	Hepatopancreas	Control
CB-1-39-Hm	CB	1	39	Hemolymph	Control
CB-1-39-Hp	CB	1	39	Hepatopancreas	Control
CB-1-7-Hm	CB	1	7	Hemolymph	Control
CB-1-7-Hp	CB	1	7	Hepatopancreas	Control
CB-2-1-Hm	CB	2	1	Hemolymph	Control
CB-2-1-Hp	CB	2	1	Hepatopancreas	Control
CB-2-14-Hm	CB	2	14	Hemolymph	Control
CB-2-14-Hp	CB	2	14	Hepatopancreas	Control
CB-2-21-Hm	CB	2	21	Hemolymph	Control
CB-2-21-Hp	CB	2	21	Hepatopancreas	Control
CB-2-28-Hm	CB	2	28	Hemolymph	Control
CB-2-28-Hp	CB	2	28	Hepatopancreas	Control
CB-2-35-Hm	CB	2	35	Hemolymph	Control
CB-2-35-Hp	CB	2	35	Hepatopancreas	Control
CB-2-37-Hm	CB	2	37	Hemolymph	Control
CB-2-37-Hp	CB	2	37	Hepatopancreas	Control
CB-2-39-Hm	CB	2	39	Hemolymph	Control
CB-2-39-Hp	CB	2	39	Hepatopancreas	Control
CB-2-7-Hm	CB	2	7	Hemolymph	Control
CB-2-7-Hp	CB	2	7	Hepatopancreas	Control
CB-3-1-Hm	CB	3	1	Hemolymph	Control
CB-3-1-Hp	CB	3	1	Hepatopancreas	Control
CB-3-14-Hm	CB	3	14	Hemolymph	Control
CB-3-14-Hp	CB	3	14	Hepatopancreas	Control
CB-3-21-Hm	CB	3	21	Hemolymph	Control
CB-3-21-Hp	CB	3	21	Hepatopancreas	Control
CB-3-28-Hm	CB	3	28	Hemolymph	Control
CB-3-28-Hp	CB	3	28	Hepatopancreas	Control
CB-3-35-Hm	CB	3	35	Hemolymph	Control
CB-3-35-Hp	CB	3	35	Hepatopancreas	Control
CB-3-37-Hm	CB	3	37	Hemolymph	Control
CB-3-37-Hp	CB	3	37	Hepatopancreas	Control
CB-3-39-Hm	CB	3	39	Hemolymph	Control
CB-3-39-Hp	CB	3	39	Hepatopancreas	Control
CB-3-7-Hm	CB	3	7	Hemolymph	Control
CB-3-7-Hp	CB	3	7	Hepatopancreas	Control
CB-4-14-Hm	CB	4	14	Hemolymph	Control
CB-4-14-Hp	CB	4	14	Hepatopancreas	Control
CB-4-21-Hm	CB	4	21	Hemolymph	Control
CB-4-21-Hp	CB	4	21	Hepatopancreas	Control
CB-4-7-Hm	CB	4	7	Hemolymph	Control
CB-4-7-Hp	CB	4	7	Hepatopancreas	Control
EA-0-1-W	EA	0	1	Water	Exposed
EA-0-14-W	EA	0	14	Water	Exposed
EA-0-21-W	EA	0	21	Water	Exposed
EA-0-28-W	EA	0	28	Water	Exposed
EA-0-35-W	EA	0	35	Water	Exposed
EA-0-37-W	EA	0	37	Water	Exposed
EA-0-39-W	EA	0	39	Water	Exposed
EA-0-7-W	EA	0	7	Water	Exposed
EA-1-1-Hm	EA	1	1	Hemolymph	Exposed
EA-1-1-Hp	EA	1	1	Hepatopancreas	Exposed
EA-1-14-Hm	EA	1	14	Hemolymph	Exposed
EA-1-14-Hp	EA	1	14	Hepatopancreas	Exposed
EA-1-21-Hm	EA	1	21	Hemolymph	Exposed
EA-1-21-Hp	EA	1	21	Hepatopancreas	Exposed
EA-1-28-Hm	EA	1	28	Hemolymph	Exposed
EA-1-28-Hp	EA	1	28	Hepatopancreas	Exposed
EA-1-35-Hm	EA	1	35	Hemolymph	Exposed
EA-1-35-Hp	EA	1	35	Hepatopancreas	Exposed
EA-1-37-Hm	EA	1	37	Hemolymph	Exposed
EA-1-37-Hp	EA	1	37	Hepatopancreas	Exposed
EA-1-39-Hm	EA	1	39	Hemolymph	Exposed
EA-1-39-Hp	EA	1	39	Hepatopancreas	Exposed
EA-1-7-Hm	EA	1	7	Hemolymph	Exposed
EA-1-7-Hp	EA	1	7	Hepatopancreas	Exposed
EA-2-1-Hm	EA	2	1	Hemolymph	Exposed
EA-2-1-Hp	EA	2	1	Hepatopancreas	Exposed
EA-2-14-Hm	EA	2	14	Hemolymph	Exposed
EA-2-14-Hp	EA	2	14	Hepatopancreas	Exposed
EA-2-21-Hm	EA	2	21	Hemolymph	Exposed
EA-2-21-Hp	EA	2	21	Hepatopancreas	Exposed
EA-2-28-Hm	EA	2	28	Hemolymph	Exposed
EA-2-28-Hp	EA	2	28	Hepatopancreas	Exposed
EA-2-35-Hm	EA	2	35	Hemolymph	Exposed
EA-2-35-Hp	EA	2	35	Hepatopancreas	Exposed
EA-2-37-Hm	EA	2	37	Hemolymph	Exposed
EA-2-37-Hp	EA	2	37	Hepatopancreas	Exposed
EA-2-39-Hm	EA	2	39	Hemolymph	Exposed
EA-2-39-Hp	EA	2	39	Hepatopancreas	Exposed
EA-2-7-Hm	EA	2	7	Hemolymph	Exposed
EA-2-7-Hp	EA	2	7	Hepatopancreas	Exposed
EA-3-1-Hm	EA	3	1	Hemolymph	Exposed
EA-3-1-Hp	EA	3	1	Hepatopancreas	Exposed
EA-3-14-Hm	EA	3	14	Hemolymph	Exposed
EA-3-14-Hp	EA	3	14	Hepatopancreas	Exposed
EA-3-21-Hm	EA	3	21	Hemolymph	Exposed
EA-3-21-Hp	EA	3	21	Hepatopancreas	Exposed
EA-3-28-Hm	EA	3	28	Hemolymph	Exposed
EA-3-28-Hp	EA	3	28	Hepatopancreas	Exposed
EA-3-35-Hm	EA	3	35	Hemolymph	Exposed
EA-3-35-Hp	EA	3	35	Hepatopancreas	Exposed
EA-3-37-Hm	EA	3	37	Hemolymph	Exposed
EA-3-37-Hp	EA	3	37	Hepatopancreas	Exposed
EA-3-39-Hm	EA	3	39	Hemolymph	Exposed
EA-3-39-Hp	EA	3	39	Hepatopancreas	Exposed
EA-3-7-Hm	EA	3	7	Hemolymph	Exposed
EA-3-7-Hp	EA	3	7	Hepatopancreas	Exposed
EA-4-14-Hm	EA	4	14	Hemolymph	Exposed
EA-4-14-Hp	EA	4	14	Hepatopancreas	Exposed
EA-4-21-Hm	EA	4	21	Hemolymph	Exposed
EA-4-21-Hp	EA	4	21	Hepatopancreas	Exposed
EA-4-7-Hm	EA	4	7	Hemolymph	Exposed
EA-4-7-Hp	EA	4	7	Hepatopancreas	Exposed
EB-0-1-W	EB	0	1	Water	Exposed
EB-0-14-W	EB	0	14	Water	Exposed
EB-0-21-W	EB	0	21	Water	Exposed
EB-0-28-W	EB	0	28	Water	Exposed
EB-0-35-W	EB	0	35	Water	Exposed
EB-0-37-W	EB	0	37	Water	Exposed
EB-0-39-W	EB	0	39	Water	Exposed
EB-0-7-W	EB	0	7	Water	Exposed
EB-1-1-Hm	EB	1	1	Hemolymph	Exposed
EB-1-1-Hp	EB	1	1	Hepatopancreas	Exposed
EB-1-14-Hm	EB	1	14	Hemolymph	Exposed
EB-1-14-Hp	EB	1	14	Hepatopancreas	Exposed
EB-1-21-Hm	EB	1	21	Hemolymph	Exposed
EB-1-21-Hp	EB	1	21	Hepatopancreas	Exposed
EB-1-28-Hm	EB	1	28	Hemolymph	Exposed
EB-1-28-Hp	EB	1	28	Hepatopancreas	Exposed
EB-1-35-Hm	EB	1	35	Hemolymph	Exposed
EB-1-35-Hp	EB	1	35	Hepatopancreas	Exposed
EB-1-37-Hm	EB	1	37	Hemolymph	Exposed
EB-1-37-Hp	EB	1	37	Hepatopancreas	Exposed
EB-1-39-Hm	EB	1	39	Hemolymph	Exposed
EB-1-39-Hp	EB	1	39	Hepatopancreas	Exposed
EB-1-7-Hm	EB	1	7	Hemolymph	Exposed
EB-1-7-Hp	EB	1	7	Hepatopancreas	Exposed
EB-2-1-Hm	EB	2	1	Hemolymph	Exposed
EB-2-1-Hp	EB	2	1	Hepatopancreas	Exposed
EB-2-14-Hm	EB	2	14	Hemolymph	Exposed
EB-2-14-Hp	EB	2	14	Hepatopancreas	Exposed
EB-2-21-Hm	EB	2	21	Hemolymph	Exposed
EB-2-21-Hp	EB	2	21	Hepatopancreas	Exposed
EB-2-28-Hm	EB	2	28	Hemolymph	Exposed
EB-2-28-Hp	EB	2	28	Hepatopancreas	Exposed
EB-2-35-Hm	EB	2	35	Hemolymph	Exposed
EB-2-35-Hp	EB	2	35	Hepatopancreas	Exposed
EB-2-37-Hm	EB	2	37	Hemolymph	Exposed
EB-2-37-Hp	EB	2	37	Hepatopancreas	Exposed
EB-2-39-Hm	EB	2	39	Hemolymph	Exposed
EB-2-39-Hp	EB	2	39	Hepatopancreas	Exposed
EB-2-7-Hm	EB	2	7	Hemolymph	Exposed
EB-2-7-Hp	EB	2	7	Hepatopancreas	Exposed
EB-3-1-Hm	EB	3	1	Hemolymph	Exposed
EB-3-1-Hp	EB	3	1	Hepatopancreas	Exposed
EB-3-14-Hm	EB	3	14	Hemolymph	Exposed
EB-3-14-Hp	EB	3	14	Hepatopancreas	Exposed
EB-3-21-Hm	EB	3	21	Hemolymph	Exposed
EB-3-21-Hp	EB	3	21	Hepatopancreas	Exposed
EB-3-28-Hm	EB	3	28	Hemolymph	Exposed
EB-3-28-Hp	EB	3	28	Hepatopancreas	Exposed
EB-3-35-Hm	EB	3	35	Hemolymph	Exposed
EB-3-35-Hp	EB	3	35	Hepatopancreas	Exposed
EB-3-37-Hm	EB	3	37	Hemolymph	Exposed
EB-3-37-Hp	EB	3	37	Hepatopancreas	Exposed
EB-3-39-Hm	EB	3	39	Hemolymph	Exposed
EB-3-39-Hp	EB	3	39	Hepatopancreas	Exposed
EB-3-7-Hm	EB	3	7	Hemolymph	Exposed
EB-3-7-Hp	EB	3	7	Hepatopancreas	Exposed
EB-4-14-Hm	EB	4	14	Hemolymph	Exposed
EB-4-14-Hp	EB	4	14	Hepatopancreas	Exposed
EB-4-21-Hm	EB	4	21	Hemolymph	Exposed
EB-4-21-Hp	EB	4	21	Hepatopancreas	Exposed
EB-4-7-Hm	EB	4	7	Hemolymph	Exposed
EB-4-7-Hp	EB	4	7	Hepatopancreas	Exposed
